flight_number,launch_year,latitude,longitude,payload_mass_kg,landing_success,landing_type,reused,number_of_cores,number_of_payloads,rocket_name_Falcon Heavy,launch_site_KSC LC 39A,launch_site_VAFB SLC 4E,orbit_GEO,orbit_GTO,orbit_HCO,orbit_HEO,orbit_ISS,orbit_LEO,orbit_MEO,"orbit_MEO,LEO",orbit_PO,orbit_SSO,orbit_TLI,orbit_VLEO,"orbit_VLEO,LEO","orbit_VLEO,SSO"
142,2021,28.5618571,-80.577366,3500.0,1,ASDS,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
143,2021,28.6080585,-80.6039558,0.0,1,ASDS,0,1,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
144,2022,28.6080585,-80.6039558,13260.0,1,ASDS,1,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
145,2022,28.5618571,-80.577366,0.0,1,RTLS,1,1,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
146,2022,28.6080585,-80.6039558,13260.0,1,ASDS,1,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
147,2022,28.5618571,-80.577366,2240.0,1,RTLS,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
148,2022,34.632093,-120.610829,0.0,1,RTLS,0,1,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
149,2022,28.6080585,-80.6039558,13260.0,1,ASDS,1,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
150,2022,28.5618571,-80.577366,13260.0,1,ASDS,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
151,2022,34.632093,-120.610829,13260.0,1,ASDS,1,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
152,2022,28.6080585,-80.6039558,13260.0,1,ASDS,1,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
153,2022,28.5618571,-80.577366,13260.0,1,ASDS,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
154,2022,28.5618571,-80.577366,13260.0,1,ASDS,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
155,2022,28.5618571,-80.577366,0.0,1,ASDS,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
156,2022,28.6080585,-80.6039558,0.0,1,ASDS,1,1,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
157,2022,34.632093,-120.610829,0.0,1,RTLS,1,1,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
158,2022,28.5618571,-80.577366,13260.0,1,ASDS,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
159,2022,28.6080585,-80.6039558,0.0,1,ASDS,1,1,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
160,2022,28.5618571,-80.577366,13260.0,1,ASDS,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
161,2022,28.6080585,-80.6039558,13260.0,1,ASDS,1,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
162,2022,34.632093,-120.610829,13260.0,1,ASDS,1,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
163,2022,28.5618571,-80.577366,13260.0,1,ASDS,0,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
164,2022,28.6080585,-80.6039558,13260.0,1,ASDS,1,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
165,2022,28.5618571,-80.577366,0.0,1,RTLS,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
166,2022,28.5618571,-80.577366,3938.0,1,ASDS,1,1,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
167,2022,28.6080585,-80.6039558,13260.0,1,ASDS,1,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
168,2022,34.632093,-120.610829,2200.0,1,RTLS,1,1,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
169,2022,28.5618571,-80.577366,700.0,1,ASDS,1,1,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
170,2022,28.5618571,-80.577366,3500.0,1,ASDS,1,1,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
